Strike,Date,Tribal Agency,Country,Location,Full Address,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported Fired,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
Ob211,20/05/2011,NWA,India,Isha Check Point,India Isha Check Point,32.966934,70.111426,Evening,0,2,0,1,0,0,0,0,0,1,4,2,2,4,6,0,0,0,0,0,0
Ob221,15/06/2011,NWA,India,Isha Check Point,India Isha Check Point,32.966934,70.111426,Evening,1,1,0,0,0,0,0,0,1,1,-,2,6,5,6,5,6,0,0,0,0
Ob279,13/06/2012,NWA,India,Isha Check Point,India Isha Check Point,32.966934,70.111426,Evening,1,2,0,0,0,0,0,0,1,2,-,2,3,2,4,0,0,0,0,0,0
Ob58,9/1/2010,NWA,Pakistan,Ismail Khel,Pakistan Ismail Khel,32.9267594,70.6462166,Evening,1,1,1,1,0,0,0,0,0,0,-,2,2,4,5,0,0,0,0,5,5
Ob152,28/10/2010,NWA,Pakistan,Ismail Khel,Pakistan Ismail Khel,32.9267594,70.6462166,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,4,8,0,4,0,0,0,0
Ob195,9/3/2011,NWA,Pakistan,Ismail Khel,Pakistan Ismail Khel,32.9267594,70.6462166,,1,1,1,1,0,0,0,0,0,0,-,2,2,5,5,0,0,0,0,2,3
B11,3/12/2007,Bannu,Pakistan,Jani Khel,Pakistan Jani Khel,32.8009383,70.508644,Morning,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,0,0,0,0,0,0,1,1
B41,19/11/2008,Bannu,Pakistan,Jani Khel,Pakistan Jani Khel,32.8009383,70.508644,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,3,6,0,3,0,0,7,7
Ob7,15/03/2009,Bannu,Pakistan,Jani Khel,Pakistan Jani Khel,32.8009383,70.508644,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,2,6,0,0,0,0,3,3
Ob14,29/04/2009,SWA,Pakistan,Kaniguram,Pakistan Kaniguram,32.5190684,69.7823059,Evening,0,2,0,1,0,0,0,0,0,1,3,2,2,1,10,0,4,0,0,4,4
Ob30,11/8/2009,SWA,Pakistan,Kaniguram,Pakistan Kaniguram,32.5190684,69.7823059,Morning,1,1,1,1,0,0,0,0,0,0,-,2,3,12,25,0,6,4,4,5,7
Ob220,15/06/2011,SWA,Pakistan,Karez,Pakistan Karez,26.0735805,62.548766,Afternoon,1,1,0,0,0,0,0,0,1,1,-,2,2,0,0,0,0,0,0,0,0
B1,17/06/2004,SWA,India,Kari Kot,India Kari Kot,28.2625664,81.1361543,Evening,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,6,8,2,2,2,2,1,1
B50,1/1/2009,SWA,India,Kari Kot,India Kari Kot,28.2625664,81.1361543,,0,2,0,1,0,0,0,0,0,1,3,2,3,3,5,0,0,0,0,1,2
Ob101,29/06/2010,SWA,India,Kari Kot,India Kari Kot,28.2625664,81.1361543,,1,2,1,1,0,0,0,0,0,1,4,2,2,7,10,0,0,0,0,1,4
Ob213,3/6/2011,SWA,India,Kari Kot,India Kari Kot,28.2625664,81.1361543,,0,1,0,1,0,0,0,0,0,0,-,2,2,5,12,0,0,0,0,1,3
Ob276,2/6/2012,SWA,India,Kari Kot,India Kari Kot,28.2625664,81.1361543,Morning,1,1,0,0,0,0,0,0,1,1,-,2,4,2,4,0,0,0,0,0,0
B45,5/12/2008,NWA,Uganda,Kateera,Uganda Kateera,0.2954802,32.4700333,Afternoon or evening or night,1,1,1,1,0,0,0,0,0,0,-,2,2,3,4,0,0,0,0,2,2
Ob11,4/4/2009,NWA,Afghanistan,Khadar Khel,Afghanistan Khadar Khel,32.97355,69.62063,Night,1,2,1,2,0,0,0,0,0,0,4,2,2,13,15,8,13,3,5,1,1
