Strike,Date,Tribal Agency,Country,Location,Full Address,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported Fired,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
Ob172,17/12/2010,Khyber,Saudi Arabia,Tirah Valley,Saudi Arabia Tirah Valley,24.58907,46.7008744,Morning,2,3,0,1,0,0,0,0,2,2,-,Unreported,Unreported,7,15,0,0,0,0,7,11
Ob173,17/12/2010,Khyber,Saudi Arabia,Tirah Valley,Saudi Arabia Tirah Valley,24.58907,46.7008744,Afternoon,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,11,15,0,0,0,0,2,2
Ob86,16/04/2010,NWA,Pakistan,Tol Khel,Pakistan Tol Khel,33.0448852,70.0800863,Afternoon,3,3,1,1,0,0,0,0,2,2,-,5,6,3,4,0,0,0,0,2,2
Ob68,2/2/2010,NWA,Pakistan,Toor Narai,Pakistan Toor Narai,32.939755,69.881702,,0,0,0,0,0,0,0,0,0,0,-,Unreported,Unreported,9,9,5,5,0,0,0,0
B2,8/5/2005,NWA,Nepal,Toorikhel,Nepal Toorikhel,29.2766474,82.1821549,Night,1,1,0,0,0,0,0,0,1,1,-,Unreported,Unreported,2,2,0,0,0,0,0,0
Ob215,6/6/2011,SWA,Pakistan,Wacha Dana,Pakistan Wacha Dana,32.285137,69.456596,Night or morning,0,2,0,1,0,1,0,0,0,0,4,2,2,8,10,0,7,0,0,3,3
B43,27/11/2008,SWA,Pakistan,Wana,Pakistan Wana,32.3006562,69.5797495,,1,1,0,0,0,0,0,0,1,1,-,2,2,5,5,0,0,0,0,0,0
Ob219,15/06/2011,SWA,Pakistan,Wana,Pakistan Wana,32.3006562,69.5797495,Afternoon,1,2,1,1,0,0,0,0,0,1,-,2,2,2,10,0,0,0,0,2,2
Ob60,15/01/2010,NWA,Afghanistan,Zanani,Afghanistan Zanani,32.971444,70.278168,Evening,1,1,1,1,0,0,0,0,0,0,4,4,5,5,10,0,0,0,0,3,3
Ob275,28/05/2012,NWA,Afghanistan,Zangar Khel,Afghanistan Zangar Khel,32.977744,70.226583,Night,1,2,0,1,0,0,0,0,1,1,1,1,2,2,5,0,0,0,0,0,0
B19,20/08/2008,SWA,Pakistan,Zari Noor,Pakistan Zari Noor,32.318292,69.522042,Evening,1,1,1,1,0,0,0,0,0,0,4,2,2,6,12,0,0,0,0,5,5
Ob13,19/04/2009,SWA,Pakistan,Zari Noor,Pakistan Zari Noor,32.318292,69.522042,Morning,1,4,1,2,0,0,0,0,0,2,4,2,2,0,8,0,8,0,0,3,5
Ob136,28/09/2010,SWA,Pakistan,Zeba Pahar,Pakistan Zeba Pahar,32.454301,69.322615,Evening,1,1,1,1,0,0,0,0,0,0,4,2,2,4,4,0,0,0,0,2,2
Ob1,23/01/2009,NWA,Afghanistan,Zeraki,Afghanistan Zeraki,35.806355,67.285263,Afternoon,1,2,1,2,0,0,0,0,0,0,4,1,3,7,15,9,11,1,1,1,1
Ob223,20/06/2011,Kurram,Afghanistan,Zeraki,Afghanistan Zeraki,35.806355,67.285263,Morning,1,1,1,1,0,0,0,0,0,0,-,2,2,2,5,0,0,0,0,0,0
B17,28/07/2008,SWA,Pakistan,Zeralita,Pakistan Zeralita,32.5269444,69.3466667,Night,2,3,1,1,1,2,0,0,0,0,-,2,4,7,12,1,5,0,2,3,3
Ob217,8/6/2011,NWA,Pakistan,Zoynari,Pakistan Zoynari,32.61581,69.489212,Morning,1,1,1,1,0,0,0,0,0,0,4,2,5,18,23,0,0,0,0,6,6
Ob218,8/6/2011,NWA/SWA,Pakistan,Zoynari,Pakistan Zoynari,32.61581,69.489212,Afternoon,1,1,0,0,0,0,0,0,1,1,4,2,2,4,4,0,0,0,0,0,0
